Timepoint,0,1,2,3,4
0,5.7729,0.78785,-3.7575,-4.1979,-2.858
1,75,90,-75,-90,0
2,150,-150,180,-180,380
3,5.6913,1.1489,-3.4729,-4.1042,-2.7979
4,5.6628,1.2694,-3.3651,-4.0811,-2.7868
5,5.634,1.3895,-3.2506,-4.0619,-2.7803
6,5.6051,1.5092,-3.1293,-4.0467,-2.7784
7,5.5764,1.6282,-3.0011,-4.0354,-2.7811
8,5.5481,1.7464,-2.8659,-4.0279,-2.7885
9,5.5205,1.8637,-2.7236,-4.0242,-2.8007
10,5.4936,1.9797,-2.5741,-4.0242,-2.8176
11,5.4678,2.0944,-2.4177,-4.0277,-2.8392
12,5.4432,2.2077,-2.2549,-4.0345,-2.8652
13,5.4198,2.3195,-2.086,-4.0444,-2.8953
14,5.398,2.4296,-1.9114,-4.0569,-2.9293
15,5.3777,2.538,-1.7317,-4.0719,-2.9669
16,5.3592,2.6445,-1.5472,-4.0892,-3.0079
17,5.3427,2.7491,-1.3583,-4.1084,-3.0521
18,5.3282,2.8515,-1.1656,-4.1293,-3.0992
19,5.3158,2.9518,-0.96949,-4.1515,-3.1489
20,5.3057,3.05,-0.7707,-4.1747,-3.2008
21,5.2978,3.146,-0.56991,-4.1985,-3.2544
22,5.2921,3.2398,-0.36782,-4.2223,-3.3095
23,5.2887,3.3315,-0.16513,-4.2459,-3.3656
24,5.2875,3.421,0.037477,-4.2688,-3.4222
25,5.2887,3.5083,0.2393,-4.2905,-3.479
26,5.2922,3.5935,0.43965,-4.3108,-3.5356
27,5.298,3.6765,0.63788,-4.329,-3.5916
28,5.306,3.7574,0.83348,-4.3449,-3.6467
29,5.3162,3.8363,1.026,-4.358,-3.7005
30,5.3284,3.9134,1.2151,-4.3678,-3.7527
31,5.3425,3.9886,1.4002,-4.3739,-3.8031
32,5.3584,4.0621,1.5809,-4.3759,-3.8513
33,5.376,4.1339,1.7568,-4.3733,-3.897
34,5.3952,4.2042,1.9274,-4.3656,-3.94
